title,text,label,succ,meta,user,mentions,prev
"Texas, 12 states to ask judge to stall Obama transgender bathroom order","- The confusion is added by people following an ancient mythology that have no respect for science, medicine and psychology.",0,How does that have anything to do with it?,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,Andrew917,@freedomscout,"The ones harmed the most are the children who are taught in government schooling that ""transgenderism"" is a valid description of a true reality. First, the very fact that ""transgenderism"" is not a true reality in itself but a condition of mind makes the claim of validity false...thus being deceptive for the children, youth, adolescents and adults who are deceived by it. Deception about anything critically important in the learning, growth, self-understanding and self-appreciation, and view of the civil society is evil and must be refused and refuted. To confuse children and youth, especially on the issues of their own nature is inexcusable and abusive to them. Because the falsehoods regarding ""transgenderism"" are being foisted on the culture by intention and willing complicity, the evil effects are widespread and become repeated in social media of all kinds.The result for stability of family and civil society is degradation of both."
Black Lives Matter must rescind anti-Israel declaration,Israel has as much right to the land that it sits on as America has or any other nation has to the lands that they sit on.,0,"""As I urged you when I went into Macedonia, stay there in Ephesus so that you may command certain people not to teach false doctrines any longer or to devote themselves to myths and endless genealogies. Such things promote controversial speculations rather than advancing God's work--which is by faith."" ""It is not as though God's word had failed. For not all who are descended from Israel are Israel."" ""For they are not all Israel which are of Israel; neither because they are the seed of Abraham are they all children… but the children of promise are counted for the seed.""",It is a real tragedy that Black Lives Matter — which has done so much good in raising awareness of police abuses — has now moved away from its central mission and has declared war against the nation state of the Jewish people.,jhkswim2,,
Confederate flag debate: Protecting hatred preserves freedom,"Treason is as treason does , pull down and burn that no good rebel flag. It's not a god given right to side with treason,freedom of speech is a Constitutional Right.....God did not sign the Constitution ,MEN signed that document in spite of both the Crown and the Church of England. You can have your so called divine right and your divine might our government has neither and never shall. It will always be obedient to the Citizens of the United States or else.",0,"Treason is as treason does, your right our goverment is full treason. Trying to give our enemy a nuke.","The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",mc6521,,
Fury as feminist blames toddler alligator death on white 'entitlement',Nice play on the acronym.....,0,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",ozart,@LeviWood,Can't Understand Normal Thinking
Confederate flag debate: Protecting hatred preserves freedom,I do know you talk like a nut job. nobody is flying isis flags here. you are in the wrong country,0,yes they are where you been,"The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",pop555,@BelieversKnow @pop555,"Treason is as treason does, your right our goverment is full treason. Trying to give our enemy a nuke."
First lady Obama takes swipe at Trump,I bet the transvestites are elated that Michelle and her girls will never have to share a locker room or bathroom with them.,1,,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",sonnymunster,,
"Texas, 12 states to ask judge to stall Obama transgender bathroom order","And you can't understand a typo. Or just hide behind that claim since you can't argue the point, which is more likely in this case.",0,Ha ha!!,Texas and 12 other states are asking a federal judge to halt an Obama administration directive on bathroom rights for transgender students in U.S. public schools.,mdr1975,@LarJass @mdr1975,"He's not capable of any thought, period!"
Confederate flag debate: Protecting hatred preserves freedom,So you would be ok with your government flying the flag of a group that kidnapped your grandmother and used her as a slave?,0,"The USA has paid dearly and still does for that smudge in history, but these types of actions perpetuate racism, keeps it alive. I guess liberals are the true white apologists.","The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",br782,@delainey @br782,That's ridiculous.
Confederate flag debate: Protecting hatred preserves freedom,that flag is no more terrible than YOU are,0,how am I terrible huh,"The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",pop555,@BelieversKnow,"Treason is as treason does, your right our goverment is full treason. Trying to give our enemy a nuke."
Confederate flag debate: Protecting hatred preserves freedom,Obama has one.,1,,"The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",peprman,@49er,so if FOX thinks racist hate speech should be protected why is FOX so up in arms about ISIS hate speech and should their flag be protected too?
States moving to restore work requirements for food stamp recipients,Donald pays more in federal income taxes in one year than you will pay over your lifetime.,0,Donald pays more income tax in one month- than the silly liberal poster will pay in his/her/it's entire life time.,"States are moving to once again require able-bodied adults to put in work hours in exchange for food stamps, after the requirements largely were suspended by the Obama administration.",WiltonManors,@Sierra415,60% of people believe Sadam responsible for 9/11. People are stupid Or should I say poorly educated
Navy names ship after gay rights advocate Harvey Milk,"You mean the pedophile Harvey Milk? That one? Name a whole ship after a pedophile, wow.",1,,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",LibertyFreaq,,
German lawmakers approve 'no means no' rape law after Cologne assaults,"She said ""GO"", not ""NO"" ~ ~ Slime ball Lawyers everywhere.",0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,JoeSnow,,
Navy names ship after gay rights advocate Harvey Milk,who didn't get the bathroom heel clicking,0,Talking about Republican Larry Craig?,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",truthishere,@turtletank @Tygher @casey6511,"So, it's a ship that oils up other ships and hauls away their effluence? I guess, if you have politicians this determined to name a ship after a rumpranger an oiler is the best option."
"ICE program failing to rid US of dangerous illegal immigrants, analysts say",THINK THE GOV WILL TAKE CARE OF YOU???? LOOK AT THE AMERICAN INDIAN...... HENERY FORD,0,"A wise Indian chief once said, ""Sure you can trust the government"". He only said it once......And he wasn't considered very ""wise"" any more.","A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",killterrists,@7thDay @SeanReed,Don't forget the dead also
First lady Obama takes swipe at Trump,Michele Tarzans calling,1,,"First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",nonlowinfovoter,,
Confederate flag debate: Protecting hatred preserves freedom,"barker @flrlegal I will fly it from now on, I will not be a slave to the PC police.",1,,"The tragedy of a mass murder in Charleston, S.C., last week, obviously motivated by racial hatred, has raised anew the issue of the lawfulness of the State expressing an opinion by flying a Confederate flag at the Statehouse, and the constitutionality of the use of the First Amendment to protect hate speech and hate groups.",gcruse56,@br782 @phillip,It's shocking how many people just argue it is southern pride. No it is not. You can be proud of where you are from without displaying a flag that reminds people of the horrible attrocities their ancestors lived through.
"ICE program failing to rid US of dangerous illegal immigrants, analysts say",How do you break up a riot in Milwaukee? Drop paternity tests from a helicopter into the crowd of thugs,1,Or drop job applications....,"A federal program to work with local law enforcement to remove dangerous illegal immigrant criminals, implemented just weeks after Kate Steinle's murder put the issue in the national spotlight, has resulted in fewer deportations, according to analysts.",RHerpes,,
First lady Obama takes swipe at Trump,'Good question...,0,"Sorry - just playing the game of Politics Liberals developed, and I guess I hit a nerve, called the truth?","First lady Michelle Obama on Friday jumped into election-year politics by criticizing leaders who engage in “name calling … anger and intolerance,” a clear reference to presumptive GOP presidential nominee Donald Trump.",puhleeze,@hockeyfan13,Just curious...why do or should we care what she has to say?
Navy names ship after gay rights advocate Harvey Milk,The next one will be Margaret Sanger,0,SS Sandusky,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",dankat2,,
Navy names ship after gay rights advocate Harvey Milk,lol,0,,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",destindiver1980,@rivrrodent,wellsaid
Fury as feminist blames toddler alligator death on white 'entitlement',"Talk about ""Racist!",0,,"A white Chicago-based Social Justice Warrior with 11,000+ followers on Twitter is under heavy fire after criticizing the grieving father of the toddler who was snatched by an alligator for his “white privilege.”",Jerricho,,
States moving to restore work requirements for food stamp recipients,"Benefits are based on wages. No work, no social security. Dah",0,Not true. Spousal benefits.,"States are moving to once again require able-bodied adults to put in work hours in exchange for food stamps, after the requirements largely were suspended by the Obama administration.",Sierra415,,
Navy names ship after gay rights advocate Harvey Milk,I don't believe you have any right to judge the military. When did you serve?,0,From 1990 to 2012.,"The Navy is naming a ship in honor of the late gay rights leader Harvey Milk, who served in the Navy for four years before he began a career in San Francisco city government.",rivrrodent,@SamPatch @rivrrodent @Tygher @dinsmo81,That wasn't even a good try gomer.
